name,abbrv,formula,state,ref1,ref2,date,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T,azero,neutral_ion_type,dissrxn,tag,formula_ox,category_1,category_2
kyanite,Ky,Al2SiO5,cr,HDNB78,NA,5/5/1978,cal,-580956,-616897,20,NA,44.09,41.393132,6.816463,-12.882104,0,0,0,0,466,,,-1.0000 kyanite -6.0000 H+ 1.0000 SiO2 2.0000 Al+3 3.0000 H2O,polymorph,2Al+3 Si+4 5O-2,inorganic_cr,
lawsonite,Lws,CaAl2Si2O7(OH)2*H2O,cr,HDNB78,SPRONS92.2,3/15/1990,cal,-1073408,-1158104,55.8,NA,101.32,81.8,23.36,-16.26,0,0,0,0,848,,,-1.0000 lawsonite -8.0000 H+ 1.0000 Ca+2 2.0000 Al+3 2.0000 SiO2 6.0000 H2O,,Ca+2 2Al+3 2Si+4 4H+ 10O-2,inorganic_cr,
lawsonite,Lws,CaAl2Si2O7(OH)2*H2O,cr2,HDNB78,OBIGT.1,5/5/1978,cal,-1073411.895,NA,54.5767,NA,101.32,84.99,17.1,-13.56,0,0,0,0,1000,,,-1.0000 lawsonite -8.0000 H+ 1.0000 Ca+2 2.0000 Al+3 2.0000 SiO2 6.0000 H2O,,Ca+2 2Al+3 2Si+4 4H+ 10O-2,inorganic_cr,
lime,Lim,CaO,cr,HDNB78,NA,5/5/1978,cal,-144366,-151790,9.5,NA,16.764,11.67,1.08,-1.56,0,0,0,0,2000,,,-1.0000 lime -2.0000 H+ 1.0000 Ca+2 1.0000 H2O,,Ca+2 O-2,inorganic_cr,
magnesite,Mgs,MgCO3,cr,HDNB78,NA,5/5/1978,cal,-245658,-265630,15.7,NA,28.018,19.731,12.539,-4.748,0,0,0,0,1000,,,-1.0000 magnesite -1.0000 H+ 1.0000 HCO3- 1.0000 Mg+2,,C+4 Mg+2 3O-2,inorganic_cr,
magnetite,Mag,Fe3O4,cr,HDNB78,NA,5/5/1978,cal,-242574,-267250,34.83,NA,44.524,21.88,48.2,0,0,0,0,0,900,,,-1.0000 magnetite -8.0000 H+ 1.0000 Fe+2 2.0000 Fe+3 4.0000 H2O,,2Fe+3 Fe+2 4O-2,inorganic_cr,
magnetite,Mag,Fe3O4,cr2,HDNB78,OBIGT.1,5/5/1978,cal,-240960.953,NA,34.9818,NA,44.524,48,0,0,0,0,0,0,1800,,,-1.0000 magnetite -8.0000 H+ 1.0000 Fe+2 2.0000 Fe+3 4.0000 H2O,,2Fe+3 Fe+2 4O-2,inorganic_cr,
margarite,Mrg,CaAl2(Al2Si2)O10(OH)2,cr,HDNB78,SPRONS92.2,3/15/1990,cal,-1394150,-1485803,63.8,NA,129.4,102.5,16.35,-28.05,0,0,0,0,848,,,-1.0000 margarite -14.0000 H+ 1.0000 Ca+2 2.0000 SiO2 4.0000 Al+3 8.0000 H2O,,Ca+2 4Al+3 2Si+4 2H+ 12O-2,inorganic_cr,
margarite,Mrg,CaAl2(Al2Si2)O10(OH)2,cr2,HDNB78,OBIGT.1,3/15/1990,cal,-1394146.105,NA,65.0233,NA,129.4,99.31,22.61,-30.75,0,0,0,0,1000,,,-1.0000 margarite -14.0000 H+ 1.0000 Ca+2 2.0000 SiO2 4.0000 Al+3 8.0000 H2O,,Ca+2 4Al+3 2Si+4 2H+ 12O-2,inorganic_cr,
merwinite,Mer,Ca3Mg(SiO4)2,cr,HDNB78,SPRONS92.2,3/15/1990,cal,-1036526,-1090796,60.5,NA,104.4,72.97,11.96,-14.44,0,0,0,0,1700,,,-1.0000 merwinite -8.0000 H+ 1.0000 Mg+2 2.0000 SiO2 3.0000 Ca+2 4.0000 H2O,,2Si+4 3Ca+2 Mg+2 8O-2,inorganic_cr,
